PlayerId,BackPostPass,BlockedShot,Goal,GoalAssist,OffTargetShot,OnTargetShot,PlayerOff,playerOn,SavedShot,SuccessfulDribbling,SuccessfulInterception,SuccessfulPass,SuccessfulTackle,UnsuccessfulDribbling,UnsuccessfulInterception,UnsuccessfulPass,UnsuccessfulTackle,PlayerAttackingScore,PlayerDefendingScore,PlayerTeamPlayScore,PlayerTotalScore,predicted
3,2,0,9,3,1,13,2,2,4,19,4,14,9,6,0,2,1,2870,680,400,3950,3947.4798473286282
25,0,0,0,2,0,4,2,2,4,21,0,44,10,8,1,4,3,1170,530,1280,2980,2978.651800534758
23,0,0,1,1,2,3,2,3,2,23,7,32,4,2,0,6,0,1400,520,900,2820,2818.378965271624
14,1,0,4,2,0,4,2,3,0,14,10,19,5,1,0,13,2,1680,660,440,2780,2781.143277050376
7,2,1,5,4,3,7,2,2,2,7,1,26,5,5,0,4,3,1760,280,740,2780,2781.1164169225467
34,2,2,5,2,3,13,2,2,8,10,10,17,4,3,3,10,2,1790,570,410,2770,2771.179210423693
17,2,2,2,0,2,2,3,3,0,14,9,26,8,4,0,8,3,1080,780,700,2560,2559.533644298236
5,1,8,1,1,2,7,3,3,6,16,7,22,9,1,1,6,0,1130,810,600,2540,2538.37053331285
26,0,0,1,1,5,4,2,3,3,16,8,42,0,4,5,5,0,980,270,1210,2460,2460.200444598694
2,3,0,2,3,0,5,3,3,3,9,7,22,1,3,1,5,3,1530,270,610,2410,2410.7341641085914
10,0,2,9,1,5,13,2,3,4,9,5,8,3,2,1,14,0,1870,370,100,2340,2342.495142419494
9,2,0,4,0,1,5,2,3,1,13,2,17,4,1,0,5,0,1490,320,460,2270,2269.6273967824554
29,0,1,2,0,3,9,2,3,7,15,6,33,0,1,2,6,0,1110,220,930,2260,2260.378878676269
11,1,1,2,1,4,10,2,3,8,14,8,11,1,2,0,2,0,1310,380,310,2000,1998.0811356527959
1,2,0,1,1,0,1,4,4,0,2,0,40,3,0,0,4,3,650,120,1160,1930,1932.508783747823
12,2,0,0,2,2,1,2,3,1,11,6,20,1,1,1,2,0,1060,290,580,1930,1929.1477723301496
6,0,0,2,2,2,2,1,2,0,11,6,18,1,2,0,3,0,1050,300,510,1860,1859.2987244882127
13,1,0,6,1,1,8,2,3,2,1,3,11,2,1,0,0,0,1220,240,330,1790,1790.1323724510635
31,0,0,1,0,0,4,2,3,3,12,8,19,7,8,0,10,0,570,740,470,1780,1779.9234345691739
4,1,0,4,1,4,8,3,3,4,3,5,14,3,0,0,7,1,1060,360,350,1770,1771.5358037093617
19,0,0,6,1,1,10,2,3,4,8,4,6,0,4,0,2,0,1390,160,160,1710,1709.431079966779
16,0,0,0,0,3,2,2,3,2,11,9,27,0,0,2,9,0,560,340,720,1620,1621.093338809842
22,0,0,1,1,1,4,1,2,3,6,9,21,2,3,0,9,0,550,480,540,1570,1571.3848664952454
8,0,0,2,0,2,4,2,2,2,11,4,18,0,0,0,0,1,870,140,540,1550,1548.7150681524615
30,0,0,3,0,6,6,1,2,3,6,4,18,1,1,0,4,0,720,220,500,1440,1440.4867969731047
24,0,0,1,0,1,3,3,4,2,5,7,20,4,1,0,4,2,400,480,560,1440,1440.0412856986443
33,2,0,0,0,0,4,3,3,4,9,3,15,7,8,0,12,0,550,540,330,1420,1421.2451805469952
28,0,1,2,0,3,4,1,2,2,5,7,17,0,3,0,6,1,450,260,450,1160,1160.9502182783797
32,0,3,1,1,0,5,2,2,4,3,1,21,1,1,0,6,1,430,80,570,1080,1081.8952377317567
36,2,1,0,0,0,1,3,3,1,2,5,17,1,5,7,5,4,210,110,460,780,781.4156552928391
37,0,0,0,0,1,1,2,2,1,2,3,15,2,2,0,2,1,50,220,430,700,700.1553955126158
20,2,1,0,1,0,4,2,2,4,3,3,1,0,1,1,5,0,580,110,-20,670,670.6122326534535
21,0,0,0,0,0,3,1,1,3,3,2,8,0,0,0,0,0,210,80,240,530,529.4459521556594
15,1,1,0,1,0,0,0,1,0,0,0,3,0,1,0,1,0,220,0,80,300,300.19285102198137
35,0,2,1,0,1,2,2,2,1,1,3,6,1,5,2,3,3,20,100,150,270,270.40336406029235
18,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,40,90,130,129.7137573076712
27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3518860409433273
